,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
Op. 1,0,0.10095218419578586,0.1054000519497762,0.8202234718293585,1.7902683370291723,0.36280110857177605,0.6038851044957724,0.7333879169050149,1.4383054033345455,1.1958068050667894,1.1774992708551262,0.3191118325503375,10.238775338493639,0.7139143934768759,0.6604156393104701,1.71245231621036,3.371026932744318,1.448468935101929,1.8965646233114763,1.339403601407717,2.4544695305316977,2.0901323121043656,2.1569145995182097,0.8301775116222281,7.059785202429296,1.259683084787734,1.0684175726979988,2.096356857895096,4.00378632096326,1.656206760608964,2.0457739613421095,2.136338877948353,2.2034127605306595,1.8886579538947634,1.6259446968548747,1.0848971815803687,3.7129127269113376,1.020180047694759,0.8573299717568974,2.04437478274322,2.9329625181997816,1.093806930811481,1.604960840023881,1.5323054806296321,1.097443466594731,1.1317734118193574,1.5561571200109368,1.0230011113771413,1.964475618296714,0.4414875336817909,0.795243232071138,0.7664557832254362,1.4269462080457314,0.4774739691712311,0.5058425639456177,0.6016357775452366,0.8044235160677374,0.42717089855962614,0.35136872795570046,0.30308345805696973,1.2274629866155466,0.31373513262392577,0.44441712827141666,0.21184148214957332,0.6419464244470383,0.22857766080761727,0.2574980141741487,0.3575305187846387,0.2535335247985582,0.10936137347517862,0.19465910047187582,0.2105206463319573,0.31502910090498176,0.06366435558966782,0.2329836736152831,0.0390271220909265,0.0716587381408818,0.07426469920627754,0.04033974334469724,0.10307858971136737,0.058473939682808194,0.017130819752601417,0.09489139273869553,0.0,0.01867259353033554,0.03591242759045351,0.14022799597486588,0.00907933446887875,0.011820265629294975,0.007880177086196651,0.016886093756135676,0.015760354172393302,0.0039400885430983254,0,0.015760354172393302
Op. 2,0,0.0,0.0,6.3618386869292385,7.099406654197633,2.443160144872351,2.8548136917578284,4.596638580784603,10.7248488344507,5.679311594231429,4.078660417826944,2.70341472775915,3.655510493706408,2.2501289967768514,5.651774283594029,4.199406125499268,8.462436037340503,3.2916197821830218,5.053962667370997,4.439142712224867,4.325270083310487,1.776325269633354,2.0269282951153778,2.1618026229513356,1.075709943477645,0.7063185191676217,1.1038884414950823,0.6764864326437717,1.0832692052212447,0.6427059817270595,0.32244975875043597,0.18425700500024914,0.0,0.0,0.0,0.36851401000049827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Op. 3 i,0,0.4256526674233827,0.0,0.5320658342792283,1.8444948921679916,4.469353007945518,8.548524404086267,2.695800227014757,5.384506242905791,0.9080590238365497,1.950908059023837,6.427355278093078,1.2060158910329175,3.5329171396140766,12.02468785471056,2.8022133938706024,1.3479001135073785,2.1850170261066975,3.2633371169126,2.873155505107833,3.057604994324632,4.5757661748013625,2.6390465380249726,4.5757661748013625,4.575766174801363,0.7448921679909196,1.3195232690124863,0.9222474460839958,0.0,0.4256526674233827,0.9080590238365497,0.2837684449489218,0.0,0.21282633371169135,0.0,0.2837684449489218,0.0,0.638479001135074,0.4256526674233827,0.638479001135074,0.0,0.1418842224744609,0.7094211123723043,0.4256526674233827,0.0,0.0,0.2837684449489218,0.8513053348467654,0.0,0.4256526674233827,1.1350737797956871,0.5675368898978436,0.0,0.0,0.0,0.0,0.0,1.276958002270148,0.0,1.7026106696935308,0.4256526674233827,1.276958002270148,0.0,1.7026106696935308,0.4256526674233827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Op. 3 ii,0,0.8920267987625501,0.7971303308090875,3.2834177911898124,4.934616333580066,1.6474026836721143,1.5240372753326126,1.9472755224050569,4.1336901440528395,5.629258478999411,2.258535937292415,3.5073734555599847,2.6305300916699887,4.902351534475889,5.555239233995712,2.803241663345291,2.6039590806430195,5.5001992825827015,1.647402683672114,1.4348345954563573,5.8323369204198245,1.0628404410787833,5.912049953500732,1.9928258270227188,2.1256808821575666,1.461405606483327,1.0628404410787833,2.1256808821575666,2.989238740534078,0.2657101102696958,1.727115716753023,0.5314202205393916,0.39856516540454373,3.985651654045437,0.2657101102696958,2.1256808821575666,0.0,2.2585359372924145,0.2657101102696958,0.7971303308090875,0.39856516540454373,0.9299853859439353,0.39856516540454373,0.0,0.39856516540454373,0.2657101102696958,0.39856516540454373,0.39856516540454373,0.0,0.0,0.39856516540454373,0.0,0.39856516540454373,0.0,0.0,0.0,0.39856516540454373,0.0,0.39856516540454373,0.0,0.0,0.39856516540454373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Op. 3 iii,0,0.6321612011062816,0.0,1.3433425523508484,5.88700118530225,1.2643224022125632,4.899249308573684,0.47412090082971137,3.7139470564994053,7.190833662583955,0.9482418016594225,10.47016989332279,0.47412090082971126,5.0572896088502555,5.215329909126823,6.361122086131959,4.464638482813115,1.0667720268668504,1.5013828526274187,2.5681548794942692,1.6594231529039893,3.2398261556696943,6.005531410509676,4.899249308573683,1.4223627024891339,6.756222836823386,2.8447254049782678,4.741209008297113,1.0272619517977077,0.23706045041485563,0.8692216515211374,0.0,0.7111813512445669,0.0,0.0,0.3160806005531408,0.0,0.47412090082971126,0.3160806005531408,0.1580403002765704,0.1580403002765704,0.0,0.0,0.3160806005531408,0.0,0.0,0.0,0.0,0.3160806005531408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Op. 3 iv,0,0.0,0.7377598926894703,1.8443997317236758,2.179745137491617,3.420523138832998,3.1522468142186453,3.7223340040241464,1.2743125419181762,9.523809523809526,2.146210596914823,4.325955734406439,0.9389671361502351,10.86519114688129,3.3869885982562047,3.2863849765258224,2.6492287055667347,3.420523138832999,2.4144869215291758,6.338028169014086,3.822937625754528,2.0791415157612345,2.481556002682764,4.963112005365526,1.4755197853789406,2.04560697518444,1.8108651911468814,1.0395707578806173,1.4084507042253525,0.938967136150235,1.1066398390342054,0.9054325955734408,1.1401743796109995,0.8048289738430586,1.3413816230717641,1.0731052984574114,0.0,0.23474178403755877,1.0060362173038233,0.5365526492287057,0.46948356807511754,0.0,0.46948356807511754,0.20120724346076466,0.0,0.20120724346076466,0.20120724346076466,0.4024144869215293,0.0,0.20120724346076466,0.20120724346076466,0.0,0.0,0.4024144869215293,0.0,0.0,0.20120724346076466,0.4024144869215293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4024144869215293,0.0,0.0,0.4024144869215293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Op. 3 v,0,0.0,0.28776978417266186,4.028776978417266,1.1510791366906474,3.1654676258992804,3.0215827338129495,4.028776978417266,5.467625899280575,1.4388489208633095,2.7817745803357314,5.851318944844124,4.460431654676259,2.7817745803357314,8.15347721822542,3.1654676258992804,3.1654676258992804,0.8633093525179856,2.302158273381295,2.446043165467626,2.7338129496402876,4.316546762589928,2.302158273381295,4.60431654676259,1.5827338129496402,1.8225419664268587,2.302158273381295,2.49400479616307,1.1510791366906474,2.877697841726619,0.28776978417266186,0.5755395683453237,0.8633093525179856,0.5755395683453237,0.28776978417266186,5.179856115107913,0.5755395683453237,0.28776978417266186,0.28776978417266186,0.28776978417266186,2.877697841726619,0.0,0.0,0.28776978417266186,1.1510791366906474,0.28776978417266186,0.5755395683453237,0.0,0.0,0.0,0.0,0.28776978417266186,0.0,0.0,0.0,0.28776978417266186,0.0,0.0,0.28776978417266186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Op. 4 i,0,0.05751533742331286,0.28757668711656426,0.5943251533742329,0.8627300613496928,1.3036809815950916,2.7990797546012263,1.7254601226993855,0.6901840490797543,1.4378834355828218,2.0897239263803677,2.933282208588957,4.332822085889569,1.5529141104294475,0.40260736196319,1.5145705521472386,2.319785276073619,1.0927914110429444,2.358128834355828,3.7576687116564407,0.7093558282208585,2.933282208588956,2.8949386503067482,2.223926380368098,2.6840490797546,2.933282208588956,1.3611963190184044,3.834355828220858,3.9877300613496924,0.4217791411042943,1.629601226993864,0.7476993865030671,0.9585889570552144,3.3742331288343546,1.0352760736196314,3.2975460122699385,1.3420245398773,2.41564417177914,4.409509202453988,2.14723926380368,0.03834355828220857,1.3420245398773,1.1886503067484657,0.9585889570552142,2.569018404907975,1.3420245398773,1.0352760736196316,0.34509202453987714,1.0736196319018403,2.5306748466257667,1.3420245398773,0.8052147239263798,1.4953987730061344,0.8435582822085884,0.46012269938650285,0.11503067484662571,0.0,0.11503067484662571,1.2653374233128831,0.11503067484662571,0.11503067484662571,1.2653374233128831,0.46012269938650285,0.46012269938650285,0.11503067484662571,0.0,0.0,0.0,0.0,1.1503067484662572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Op. 4 ii,0,1.017429001150137,0.26836533073815205,1.2990651449467692,5.766250192508707,1.4381629262634306,7.356945550345534,0.9908873750331769,7.582057860744936,2.4401912307778,0.8604729652239163,6.594611066875067,2.644004705404334,3.715172307581401,7.042541966898332,1.5541596626264411,1.1814300366012298,2.592723662351195,1.1181888780756337,7.496043331662193,1.1099970181629915,1.1884750361261023,0.6378182127983065,3.1995766446797145,1.1132737621280486,7.73475412951658,1.7792719730258433,1.7506004633315964,0.9052005203469417,1.1075394601891992,0.35143079025234203,1.5335161756465834,0.0,0.3194825365930382,0.9412447039625663,2.1872265966754156,0.0,1.2779301463721526,0.0,0.26623544716086517,0.0,1.2779301463721529,0.6389650731860764,1.597412682965191,0.0,0.9584476097791147,0.6922121626182496,1.2779301463721529,0.0,0.0,0.0,0.0,0.0,1.118188878075634,0.47922380488955735,1.2779301463721529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1597412682965191,0.1597412682965191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Op. 4 iii,0,0.25895554596460935,0.6473888649115233,1.6616314199395763,5.686232196806213,5.977557186016399,3.118256365990504,0.26974536037980135,5.416486836426411,6.35520069054812,3.5066896849374176,2.643504531722054,0.48554164868364247,5.988347000431592,4.089339663357789,0.7444971946482517,3.8843331894691397,3.236944324557616,7.175226586102716,2.589555459646093,2.902460077686663,3.3124730254639614,4.639620198532584,2.9132498921018546,0.48554164868364247,5.502805351747948,0.2157962883038411,1.2947777298230465,0.48554164868364247,3.129046180405696,1.1329305135951657,0.3236944324557616,0.3236944324557616,1.6724212343547682,0.6473888649115233,1.618472162278808,1.618472162278808,0.48554164868364247,0.0,0.9710832973672849,0.6473888649115233,0.0,0.4315925766076822,0.10789814415192055,0.3236944324557616,0.0,0.0,0.8631851532153644,0.0,0.0,0.0,0.2157962883038411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Op. 4 iv,0,0.0,0.0,1.7137180230151496,0.0,2.483649308717608,1.9372464607997342,8.54375362198857,2.9058696911996016,3.613709744184119,0.22352843778458473,5.141154069045449,0.14901895852305647,11.375113833926646,0.0,1.0803874492921597,10.555509562049833,1.7137180230151496,0.5215663548306978,1.9372464607997342,5.935921847835083,6.581670668101662,0.8196042718768106,0.5960758340922259,0.22352843778458473,0.44705687556916945,4.578193559069456,2.947263846344895,2.086265419322791,3.477109032204652,1.357728288765626,0.46361453762728694,1.3908436128818606,2.9803791704611298,1.1921516681844517,0.5215663548306978,0.5215663548306978,0.8941137511383387,1.4405165990562125,1.5398625714049172,0.0,0.5215663548306978,0.6705853133537543,0.0,0.0,0.0,0.44705687556916945,0.29803791704611293,0.5960758340922259,0.0,0.0,0.0,0.0,0.0,0.44705687556916945,0.0,0.0,0.29803791704611293,0.5960758340922259,0.44705687556916945,0.0,0.7450947926152824,0.5960758340922259,0.0,0.0,0.44705687556916945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Op. 4 v,0,0.0,0.0,4.6029919447640975,3.1300345224395865,5.431530494821633,4.510932105868816,0.0,1.5650172612197932,2.85385500575374,5.546605293440736,3.7054085155350975,0.3452243958573073,12.197928653624853,4.971231300345225,3.682393555811277,5.4775604142692735,5.155350978135789,5.017261219792863,2.5316455696202533,3.958573072497123,0.8285385500575374,2.3014959723820487,2.1173762945914847,1.5650172612197928,1.5189873417721516,2.899884925201381,3.3141542002301496,2.4395857307249713,2.3935558112773303,1.1507479861910241,0.5063291139240507,0.5523590333716916,0.46029919447640966,0.23014959723820483,0.2761795166858458,0.0,0.23014959723820483,0.5753739930955121,0.6904487917146146,0.3452243958573073,0.46029919447640966,0.0,0.0,0.46029919447640966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Op. 5 i,0,0.6332163923050231,0.07228497629052776,1.7984502101083304,5.058984540653072,1.1271637302902962,2.143490496935117,1.0833108446740427,6.475770075947418,3.2595705308608656,1.6683372527853808,6.4786614749990425,2.7362273025174457,6.370234010563247,3.0619915956667563,4.414202552141564,2.6620147268591703,4.035429276379198,2.4663633910328078,1.4688307182235236,1.9198889702764181,3.6335248082038634,3.3771540922934578,3.3125795134739207,1.240410193145456,3.249932534022129,2.417209607155249,1.1421026253903384,1.6085816723852113,1.1045144377192642,1.9969929449863137,1.8418211958826474,1.934345965534523,0.04240718609044295,1.8678437873472378,2.3111916419291414,0.19950653456185663,2.1858976830255594,0.900188904738039,0.33540228998804883,0.4163614634334399,0.20818073171671994,0.4163614634334399,1.6461698600562857,0.1358957554261922,0.7681483480473417,0.7093565673310457,0.2717915108523844,0.0,0.31805389567832215,0.5898454065307065,0.289139905162111,0.07228497629052776,0.07228497629052776,0.2168549288715833,0.0,0.0,0.0,0.0,0.06361077913566443,0.06361077913566443,0.1060179652261074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Op. 5 ii,0,1.095890410958904,0.821917808219178,0.0,1.643835616438356,6.301369863013699,1.095890410958904,0.0,4.931506849315069,14.520547945205479,3.0136986301369864,2.4657534246575343,3.8356164383561646,6.301369863013699,2.73972602739726,0.547945205479452,11.232876712328768,2.191780821917808,8.767123287671232,0.0,0.0,0.273972602739726,6.301369863013699,3.0136986301369864,1.643835616438356,3.0136986301369864,0.0,4.383561643835616,0.547945205479452,0.547945205479452,0.273972602739726,0.0,1.36986301369863,0.821917808219178,1.643835616438356,1.643835616438356,0.0,0.547945205479452,0.0,0.0,0.0,0.0,0.0,0.0,0.547945205479452,1.9178082191780823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Op. 5 iii,0,0.0,0.0,0.5240424665225673,3.6433428624902295,1.5721273995677016,0.5240424665225673,0.0,1.5721273995677016,1.0480849330451345,5.315287874728895,5.764467131748239,3.082602744250395,3.655820064074101,1.0480849330451345,1.3101061663064182,2.6077351310289654,1.8715802375805972,5.415105487399861,3.119300395967662,2.096169866090269,1.0480849330451345,3.031959984880568,0.8359725061193335,3.6066452107729616,4.342066151186986,1.821671431245115,3.443707637148299,0.5240424665225673,0.0,3.8741710917918373,3.088107392007986,3.08186879121605,2.139840071633816,1.459832585312866,3.9240798981273195,0.7798250989919157,1.4036851781854482,2.351952498559617,3.4561848387321703,0.5240424665225673,2.139840071633816,2.096169866090269,0.15596501979838312,0.5240424665225673,1.0480849330451345,0.0,0.5240424665225673,0.0,1.3600149726419009,1.3600149726419009,0.15596501979838312,0.6800074863209504,0.5240424665225673,0.5240424665225673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Op. 5 iv,0,0.0,0.6420545746388443,0.0,0.0,18.940609951845907,3.210272873194222,3.210272873194221,1.9261637239165332,0.0,0.32102728731942215,10.914927768860354,1.9261637239165332,5.778491171749598,0.0,6.420545746388444,0.9630818619582666,3.8523274478330665,7.704654895666133,0.9630818619582666,2.889245585874799,1.9261637239165328,0.0,3.3707865168539324,3.8523274478330656,6.741573033707865,1.9261637239165332,0.4815409309791333,1.9261637239165328,2.4077046548956664,1.9261637239165332,0.0,0.0,0.9630818619582666,0.0,0.0,0.0,0.9630818619582666,0.9630818619582666,0.0,0.0,0.0,1.9261637239165332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9630818619582666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Op. 5 v,0,0.0,0.0,2.1655606007684245,0.08732099196646874,2.5148445686342997,5.099545930841774,0.0,1.9559902200488997,2.0957038071952496,1.5717778553964372,2.567237163814181,0.8382815228781,5.902899056933287,3.807195249738037,1.0478519035976248,0.4889975550122249,0.8557457212713936,1.0478519035976248,4.156479217603912,6.566538595878449,3.597624869018512,1.0478519035976248,6.4966818023052735,0.4889975550122249,0.7684247293049249,7.334963325183375,0.8382815228781,1.0653161019909188,2.93398533007335,3.038770520433112,4.750261962975899,0.7160321341250436,3.4229828850855744,3.0736989172196996,1.5543136570031435,2.65455815578065,1.7464198393293748,0.6985679357317499,1.327279077890325,1.327279077890325,0.34928396786587496,2.0957038071952496,0.34928396786587496,1.921061823262312,0.6287111421585749,0.34928396786587496,0.6287111421585749,0.0,0.34928396786587496,0.0,0.0,0.0,1.6765630457562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
