,Int0,Int1,Int2,Int3,Int4,Int5,Int6,Int7,Int8,Int9,Int10,Int11,Ic0,Ic1,Ic2,Ic3,Ic4,Ic5,Ic6
17 i,0,6,1,1,1,1,0,0,0,2,0,0,0,6,1,3,1,1,0
17 ii,0,6,0,1,1,1,1,0,0,1,0,1,0,7,0,2,1,1,1
17 iii,0,8,0,1,1,0,1,0,0,1,0,0,0,8,0,2,1,0,1
18 i,0,2,1,2,1,1,4,0,0,0,0,1,0,3,1,2,1,1,4
18 ii,0,1,0,3,3,0,1,0,2,2,0,0,0,1,0,5,5,0,1
18 iii,0,7,0,0,2,0,1,0,1,1,0,0,0,7,0,1,3,0,1
19,0,3,1,1,2,0,1,3,0,1,0,0,0,3,1,2,2,3,1
20,0,5,0,1,2,2,0,1,0,0,0,1,0,6,0,1,2,3,0
21,0,6,0,1,2,0,2,0,0,1,0,0,0,6,0,2,2,0,2
22,0,5,0,2,1,0,2,1,0,0,1,0,0,5,1,2,1,1,2
23,0,1,1,3,4,1,1,0,0,1,0,0,0,1,1,4,4,1,1
24,0,5,2,0,2,1,0,0,2,0,0,0,0,5,2,0,4,1,0
25,0,4,0,3,1,1,0,0,0,2,1,0,0,4,1,5,1,1,0
26,0,4,1,2,2,0,0,0,1,1,0,1,0,5,1,3,3,0,0
27,0,4,2,1,1,1,1,0,2,0,0,0,0,4,2,1,3,1,1
28,0,6,0,3,2,0,0,0,0,1,0,0,0,6,0,4,2,0,0
29,0,4,0,1,2,1,0,0,2,2,0,0,0,4,0,3,4,1,0
30,0,7,0,2,0,0,0,0,0,2,0,1,0,8,0,4,0,0,0
31,0,4,0,1,4,1,1,0,1,0,0,0,0,4,0,1,5,1,1
